packages_number
50
number;city_from;city_to;date_ready;date_delivery;weight
0;3;2;2;14;5
1;7;5;9;12;5
2;10;13;11;16;5
3;11;10;13;16;7
4;4;11;1;15;6
5;10;5;3;12;7
6;2;1;11;16;7
7;14;10;11;15;3
8;7;14;8;13;3
9;5;1;7;13;7
10;5;8;5;13;4
11;6;13;0;8;3
12;14;8;2;8;5
13;5;1;10;16;3
14;2;5;5;16;5
15;11;7;3;15;3
16;9;12;7;11;5
17;6;14;8;13;7
18;3;7;7;15;7
19;8;13;8;16;7
20;13;9;10;15;3
21;10;11;12;15;4
22;14;11;13;16;3
23;7;0;0;6;5
24;10;7;3;15;5
25;0;6;13;16;7
26;5;11;6;12;3
27;12;1;0;9;3
28;7;5;10;13;5
29;2;9;2;5;3
30;0;12;13;16;6
31;10;11;5;16;5
32;3;13;1;10;7
33;13;2;12;16;7
34;8;14;4;8;7
35;13;3;4;15;7
36;5;2;2;8;7
37;1;2;11;16;3
38;8;11;10;15;7
39;14;4;11;16;7
40;14;2;7;10;5
41;6;1;7;10;3
42;1;0;11;15;5
43;7;12;1;8;5
44;3;2;5;14;6
45;13;9;11;14;3
46;13;4;11;14;3
47;6;12;13;16;7
48;9;13;12;15;7
49;8;13;7;13;7
